customer_id,signup_date,zone,area,home_lat,home_lng,vehicle_size,is_subscriber,total_bookings,avg_rating,complaints,days_since_last_booking,churned
U00101,2025-01-25,north,DLF Phase 3,28.49298,77.11498,hatchback,1,33,3.7,1,15,1
U00102,2024-10-24,east,Sector 56,28.40619,77.09528,suv,1,32,3.53,1,59,0
U00103,2024-12-14,south,Sohna Road,28.42563,77.02903,suv,0,13,3.62,1,24,
U00104,2025-06-21,west,Sector 14,28.46885,77.02967,sedan,0,10,4.0,0,67,
U00105,2024-09-19,south,Manesar,28.36342,76.93355,hatchback,0,6,2.67,2,18,
U00106,2024-01-27,south,Sohna Road,28.42069,77.02392,hatchback,0,6,3.17,2,56,
U00107,2024-08-25,south,Sohna Road,28.40663,77.05104,suv,1,27,4.19,0,5,1
U00108,2024-03-31,north,Golf Course Road,28.45707,77.12208,suv,1,21,4.33,0,11,0
U00109,2024-11-24,north,Cyber Hub,28.50521,77.08479,hatchback,0,7,4.43,0,133,
U00110,2025-01-24,east,Sector 56,28.42322,77.09759,suv,1,27,3.89,0,45,0
U00111,2025-07-23,south,Sohna Road,28.41077,77.04035,sedan,0,6,3.33,0,128,
U00112,2024-07-27,west,Palam Vihar,28.50339,77.01892,hatchback,1,31,3.97,0,40,1
U00113,2025-11-21,west,Sector 14,28.48078,77.01001,sedan,0,6,4.33,0,85,
U00114,2024-08-17,north,Udyog Vihar,28.49493,77.08857,sedan,1,26,4.31,0,57,0
U00115,2024-06-06,north,Golf Course Road,28.44702,77.09335,hatchback,0,11,3.64,0,61,
U00116,2024-04-05,south,Sohna Road,28.40372,77.04334,hatchback,0,13,3.69,0,68,
U00117,2025-05-16,north,Golf Course Road,28.45027,77.09436,hatchback,1,24,4.17,0,40,1
U00118,2024-08-20,north,Cyber Hub,28.48274,77.08463,sedan,0,8,3.12,0,11,
U00119,2024-11-01,north,Udyog Vihar,28.52815,77.08153,suv,1,42,3.1,5,5,1
U00120,2024-03-19,north,Udyog Vihar,28.51302,77.0829,sedan,0,8,4.25,0,5,
U00121,2024-04-29,north,Udyog Vihar,28.49126,77.09016,hatchback,0,4,2.75,1,105,
U00122,2024-09-02,west,New Gurgaon,28.42429,76.97681,sedan,0,6,3.17,0,10,
U00123,2025-03-10,north,Cyber Hub,28.50984,77.09893,sedan,0,10,4.5,0,48,
U00124,2024-02-12,north,Cyber Hub,28.51516,77.08843,hatchback,0,11,3.91,0,69,
U00125,2024-09-07,south,Sohna Road,28.42512,77.05696,hatchback,1,23,4.57,0,108,1
U00126,2024-02-08,south,Manesar,28.34519,76.93783,sedan,0,10,3.7,0,120,
U00127,2024-06-15,north,DLF Phase 3,28.49337,77.11195,suv,0,10,3.7,0,49,
U00128,2025-01-30,north,Udyog Vihar,28.51346,77.09134,suv,1,27,4.19,0,37,1
U00129,2024-08-25,west,New Gurgaon,28.40241,76.98213,hatchback,0,11,4.0,0,39,
U00130,2025-11-19,south,Sohna Road,28.40001,77.01664,suv,1,31,4.06,0,0,0
U00131,2025-04-13,north,Cyber Hub,28.51501,77.09278,hatchback,0,4,3.25,0,215,
U00132,2024-09-04,north,Golf Course Road,28.43045,77.11194,hatchback,0,13,3.54,0,90,
U00133,2025-06-02,west,Palam Vihar,28.50315,77.04444,suv,0,12,3.58,0,47,
U00134,2025-06-10,west,Palam Vihar,28.50357,77.03348,sedan,0,4,3.25,0,95,
U00135,2025-06-18,north,Golf Course Road,28.42404,77.09607,suv,0,9,4.56,0,24,
U00136,2024-06-04,north,Cyber Hub,28.51263,77.08057,suv,0,9,3.33,0,178,
U00137,2024-10-25,north,DLF Phase 3,28.50023,77.08986,suv,0,13,4.08,0,48,
U00138,2025-08-11,west,New Gurgaon,28.41243,76.96345,sedan,1,25,4.32,0,2,0
U00139,2024-10-05,west,New Gurgaon,28.43994,76.98192,hatchback,0,12,3.83,0,69,
U00140,2025-02-22,north,Golf Course Road,28.43082,77.10999,sedan,0,9,4.11,0,27,
U00141,2025-06-26,north,DLF Phase 3,28.51817,77.09419,suv,0,6,4.0,0,42,
U00142,2025-09-09,west,New Gurgaon,28.43125,76.99847,sedan,1,40,4.53,0,0,0
U00143,2024-12-15,south,Manesar,28.3379,76.93885,sedan,0,7,4.0,0,2,
U00144,2024-01-04,north,Golf Course Road,28.43012,77.09118,suv,1,23,4.43,0,17,1
U00145,2025-05-27,north,DLF Phase 3,28.46818,77.10642,hatchback,0,10,4.4,0,45,
U00146,2025-06-05,west,Sector 14,28.48456,77.02513,hatchback,0,3,4.33,0,244,
U00147,2024-01-04,south,Manesar,28.33396,76.9576,sedan,1,31,3.55,1,11,1
U00148,2024-12-14,east,Sector 56,28.43114,77.08749,suv,1,31,4.65,0,9,0
U00149,2024-10-01,south,Manesar,28.35679,76.93825,sedan,0,8,3.38,0,17,
U00150,2025-06-28,north,Golf Course Road,28.44929,77.12919,hatchback,0,8,3.62,0,30,
U00151,2025-06-12,north,Golf Course Road,28.41273,77.09449,hatchback,1,28,4.32,0,5,1
U00152,2025-09-19,north,Golf Course Road,28.4476,77.10308,sedan,0,5,4.0,0,183,
U00153,2024-11-09,south,Sohna Road,28.40638,77.04656,hatchback,0,12,4.33,0,10,
U00154,2024-03-25,west,Sector 14,28.48454,77.01365,suv,0,10,3.0,2,11,
U00155,2025-06-15,north,Cyber Hub,28.51371,77.10387,sedan,0,11,3.36,2,4,
U00156,2024-03-29,west,Palam Vihar,28.50077,77.03382,sedan,0,8,4.0,0,30,
U00157,2024-12-29,north,Udyog Vihar,28.50412,77.08179,sedan,1,30,4.03,0,15,0
U00158,2024-02-25,south,Manesar,28.34774,76.93283,suv,0,6,3.33,0,165,
U00159,2024-09-01,west,Palam Vihar,28.51266,77.04537,suv,0,4,3.25,0,38,
U00160,2024-08-12,north,Golf Course Road,28.45154,77.11595,suv,0,5,4.0,0,13,
U00161,2024-05-26,west,New Gurgaon,28.42008,76.98148,suv,1,29,4.34,0,0,1
U00162,2025-09-26,north,DLF Phase 3,28.46822,77.07509,sedan,0,10,4.0,0,1,
U00163,2025-04-13,east,Sector 56,28.41344,77.10299,hatchback,0,9,3.0,0,87,
U00164,2024-04-13,south,Manesar,28.36147,76.94455,hatchback,0,8,3.5,0,13,
U00165,2024-08-07,north,Cyber Hub,28.49955,77.10551,sedan,0,19,4.0,0,86,
U00166,2025-11-28,west,Sector 14,28.47491,77.03993,hatchback,1,25,3.76,0,11,1
U00167,2024-06-15,north,DLF Phase 3,28.47673,77.09764,sedan,0,8,3.5,0,11,
U00168,2024-12-02,north,Udyog Vihar,28.50063,77.09562,hatchback,0,11,3.09,0,72,
U00169,2025-04-14,north,Udyog Vihar,28.50414,77.08473,hatchback,1,24,4.46,0,15,0
U00170,2024-01-14,west,New Gurgaon,28.42374,76.98701,sedan,1,26,3.62,1,2,0
U00171,2025-10-18,south,Sohna Road,28.41333,77.0429,hatchback,0,10,3.6,0,191,
U00172,2025-05-20,north,Cyber Hub,28.49361,77.08371,sedan,1,24,4.33,0,17,0
U00173,2025-02-01,west,Sector 14,28.47508,77.01973,suv,1,22,2.95,5,50,1
U00174,2025-11-08,west,Sector 14,28.47259,77.03962,hatchback,0,6,3.33,0,77,
U00175,2025-01-13,west,New Gurgaon,28.43475,76.97078,suv,1,42,4.07,0,4,0
U00176,2024-08-12,south,Sohna Road,28.42073,77.03859,suv,1,32,4.09,0,32,0
U00177,2025-05-11,north,Cyber Hub,28.48639,77.07487,sedan,0,12,3.92,0,31,
U00178,2024-08-09,west,New Gurgaon,28.41524,76.97565,sedan,1,28,3.32,3,83,1
U00179,2024-03-17,north,Golf Course Road,28.44044,77.11435,suv,0,11,4.18,0,37,
U00180,2024-01-26,north,Golf Course Road,28.43588,77.08566,sedan,0,9,3.56,0,13,
U00181,2025-01-11,south,Sohna Road,28.40789,77.04582,sedan,1,35,3.63,0,36,0
U00182,2024-11-17,north,Golf Course Road,28.4351,77.12517,sedan,1,32,4.5,0,45,0
U00183,2024-12-17,north,Golf Course Road,28.43848,77.11276,sedan,0,9,3.44,0,61,
U00184,2024-05-18,north,Golf Course Road,28.43945,77.07973,sedan,0,7,4.43,0,10,
U00185,2025-02-21,west,Sector 14,28.48327,77.03915,hatchback,0,10,3.5,0,238,
U00186,2025-08-20,south,Sohna Road,28.40636,77.0323,hatchback,0,11,4.55,0,41,
U00187,2024-09-18,north,Cyber Hub,28.51173,77.10048,sedan,1,27,3.33,1,7,0
U00188,2024-12-14,north,Golf Course Road,28.43264,77.08978,sedan,0,7,3.86,0,143,
U00189,2024-08-26,west,New Gurgaon,28.44379,76.98327,sedan,0,12,3.83,0,106,
U00190,2025-10-23,north,Cyber Hub,28.50677,77.06311,hatchback,0,5,3.6,0,188,
U00191,2025-01-13,north,Udyog Vihar,28.50145,77.1049,hatchback,1,38,3.97,0,3,0
U00192,2024-03-07,south,Sohna Road,28.41089,77.04803,sedan,1,25,3.96,0,24,0
U00193,2024-09-11,north,Golf Course Road,28.42798,77.10356,hatchback,1,34,3.38,4,1,1
U00194,2024-11-23,west,New Gurgaon,28.4205,76.98645,hatchback,0,9,3.44,0,86,
U00195,2024-12-02,north,Cyber Hub,28.50362,77.09429,hatchback,0,3,3.67,0,76,
U00196,2025-04-08,north,DLF Phase 3,28.49195,77.10923,suv,1,31,3.42,1,19,0
U00197,2024-09-21,east,Sector 56,28.42999,77.11425,sedan,1,30,3.97,0,61,1
U00198,2024-11-14,south,Manesar,28.36467,76.92948,suv,1,28,3.89,1,25,0
U00199,2024-11-19,south,Sohna Road,28.41112,77.02764,hatchback,0,13,3.92,0,12,
U00200,2025-05-02,north,Cyber Hub,28.49343,77.07345,sedan,0,6,3.67,0,106,
U00201,2025-01-15,north,Golf Course Road,28.44138,77.09682,sedan,0,12,3.25,1,123,
U00202,2024-12-14,north,Cyber Hub,28.50732,77.07513,sedan,0,8,3.5,0,77,
U00203,2025-06-28,north,Cyber Hub,28.47527,77.0916,sedan,1,30,3.73,0,25,1
U00204,2025-01-30,north,Udyog Vihar,28.50585,77.08202,sedan,0,11,3.18,0,6,
U00205,2024-09-18,north,Cyber Hub,28.49321,77.09224,sedan,1,27,4.26,0,20,0
U00206,2024-09-17,north,Cyber Hub,28.48484,77.09671,sedan,0,10,3.5,0,18,
U00207,2024-08-20,south,Sohna Road,28.40891,77.03075,hatchback,1,35,4.23,0,14,0
U00208,2024-11-10,north,Cyber Hub,28.50424,77.09366,hatchback,1,31,3.74,0,45,0
U00209,2025-11-24,north,DLF Phase 3,28.48829,77.10075,sedan,0,6,4.0,0,72,
U00210,2024-03-06,north,DLF Phase 3,28.48847,77.10612,hatchback,0,6,4.33,0,1,
U00211,2024-11-15,west,Palam Vihar,28.49445,77.04568,suv,0,8,3.5,0,157,
U00212,2025-07-09,north,Cyber Hub,28.48659,77.09628,hatchback,1,34,4.26,0,3,0
U00213,2024-12-31,north,Cyber Hub,28.49254,77.06601,hatchback,0,5,4.2,0,9,
U00214,2024-12-02,west,Palam Vihar,28.5077,77.04603,sedan,1,34,3.26,3,7,1
U00215,2024-02-24,west,Palam Vihar,28.5168,77.03925,suv,0,7,4.29,0,121,
U00216,2024-02-01,west,New Gurgaon,28.41595,76.97379,sedan,0,10,3.6,0,77,
U00217,2024-08-30,north,Cyber Hub,28.49244,77.07776,sedan,0,5,4.0,0,283,
U00218,2025-03-10,north,Cyber Hub,28.51098,77.07233,suv,1,22,4.32,0,5,0
U00219,2024-12-10,north,Cyber Hub,28.49868,77.07142,sedan,0,7,4.0,0,11,
U00220,2024-05-07,west,Palam Vihar,28.51526,77.02873,sedan,0,10,4.1,0,39,
U00221,2024-03-16,north,Golf Course Road,28.44423,77.09688,hatchback,1,34,4.18,0,0,0
U00222,2024-02-12,west,Palam Vihar,28.50734,77.01277,suv,0,11,3.73,0,193,
U00223,2024-05-28,east,Sector 56,28.42603,77.09081,sedan,0,7,4.29,0,15,
U00224,2024-01-28,east,Sector 56,28.40441,77.09526,sedan,1,28,4.07,0,32,0
U00225,2025-09-16,south,Sohna Road,28.4009,77.04332,sedan,1,27,4.56,0,6,0
U00226,2025-01-21,north,Golf Course Road,28.43973,77.09148,hatchback,1,31,4.52,0,38,0
U00227,2025-03-20,east,Sector 56,28.44046,77.10559,suv,0,6,4.0,0,194,
U00228,2024-02-09,north,Cyber Hub,28.49245,77.08639,hatchback,1,40,4.6,0,1,0
U00229,2024-08-26,west,New Gurgaon,28.42477,76.96905,sedan,1,33,4.0,1,30,1
U00230,2025-03-25,north,DLF Phase 3,28.49778,77.07217,suv,1,35,4.49,0,3,0
U00231,2024-01-05,north,Cyber Hub,28.4876,77.09335,sedan,0,5,4.6,0,100,
U00232,2024-06-14,south,Sohna Road,28.41941,77.02212,hatchback,0,4,4.25,0,163,
U00233,2025-07-13,north,DLF Phase 3,28.49502,77.09473,sedan,1,28,3.39,0,32,0
U00234,2024-01-05,east,Sector 56,28.43754,77.11431,hatchback,0,11,4.09,0,17,
U00235,2025-05-20,north,Golf Course Road,28.43322,77.10036,suv,1,30,4.1,0,25,0
U00236,2024-10-11,east,Sector 56,28.40387,77.10318,sedan,0,5,4.2,0,272,
U00237,2025-10-14,west,New Gurgaon,28.4017,76.96094,suv,1,32,3.25,3,50,0
U00238,2024-03-23,west,Sector 14,28.46499,77.03351,suv,0,8,3.75,0,292,
U00239,2025-04-30,north,Udyog Vihar,28.51888,77.08329,suv,0,13,3.46,0,40,
U00240,2025-10-30,north,Udyog Vihar,28.50915,77.08537,sedan,0,9,3.56,1,79,
U00241,2025-07-21,north,Udyog Vihar,28.50691,77.07753,sedan,0,6,3.5,0,8,
U00242,2024-11-21,south,Sohna Road,28.40931,77.03116,hatchback,0,9,4.22,0,24,
U00243,2025-11-16,west,New Gurgaon,28.41647,76.97,hatchback,0,8,3.75,0,100,
U00244,2024-08-30,north,Golf Course Road,28.43079,77.11553,sedan,0,10,3.6,0,31,
U00245,2024-07-04,north,Cyber Hub,28.50112,77.06565,hatchback,0,9,4.11,0,45,
U00246,2024-10-03,north,DLF Phase 3,28.50608,77.10177,sedan,0,11,3.55,0,26,
U00247,2025-07-10,south,Sohna Road,28.40822,77.0558,hatchback,0,13,4.0,0,60,
U00248,2024-02-29,east,Sector 56,28.44111,77.08818,hatchback,1,23,4.17,0,44,0
U00249,2025-11-17,west,Palam Vihar,28.51884,77.02267,suv,1,31,3.68,0,27,1
U00250,2024-06-07,north,DLF Phase 3,28.49886,77.11463,hatchback,0,8,3.88,0,106,
U00251,2024-02-29,west,New Gurgaon,28.42937,76.97813,hatchback,0,10,3.4,0,100,
U00252,2025-11-08,north,Udyog Vihar,28.48333,77.08783,sedan,0,10,3.5,0,11,
U00253,2024-06-08,north,Golf Course Road,28.45544,77.08762,hatchback,0,10,4.3,0,110,
U00254,2024-03-05,north,Cyber Hub,28.5056,77.10175,suv,0,9,4.44,0,33,
U00255,2024-03-17,east,Sector 56,28.41409,77.10461,hatchback,0,11,4.27,0,36,
U00256,2024-01-04,south,Manesar,28.35346,76.93141,hatchback,0,9,3.22,1,17,
U00257,2024-12-28,north,DLF Phase 3,28.52571,77.1031,hatchback,1,35,4.51,0,47,0
U00258,2024-12-11,north,DLF Phase 3,28.49763,77.08586,hatchback,1,34,3.82,0,18,0
U00259,2025-04-01,north,Cyber Hub,28.49276,77.08638,suv,0,11,3.91,0,12,
U00260,2025-01-01,north,Udyog Vihar,28.50882,77.08602,sedan,0,14,4.5,0,39,
U00261,2025-07-15,south,Manesar,28.34575,76.93658,hatchback,1,28,3.04,3,13,1
U00262,2025-01-13,north,Cyber Hub,28.50636,77.09355,hatchback,0,13,3.38,0,55,
U00263,2025-11-21,west,Palam Vihar,28.49219,77.03241,suv,1,25,3.52,2,39,0
U00264,2024-01-21,north,Udyog Vihar,28.49212,77.07409,sedan,1,32,4.16,0,22,0
U00265,2024-09-03,east,Sector 56,28.43079,77.09318,hatchback,1,30,4.1,0,27,0
U00266,2024-08-21,north,Golf Course Road,28.43816,77.09782,hatchback,0,6,4.17,0,93,
U00267,2024-02-25,north,Golf Course Road,28.45354,77.10474,sedan,0,12,4.25,0,52,
U00268,2024-04-03,west,New Gurgaon,28.40648,77.00006,hatchback,0,6,2.67,2,91,
U00269,2024-06-22,north,Udyog Vihar,28.50033,77.09669,hatchback,0,8,3.5,0,107,
U00270,2025-09-24,west,Palam Vihar,28.5056,77.02606,suv,0,9,3.22,0,59,
U00271,2025-02-15,south,Sohna Road,28.40541,77.01167,hatchback,0,13,3.62,1,42,
U00272,2024-11-24,north,DLF Phase 3,28.50792,77.10689,sedan,0,13,4.08,0,69,
U00273,2024-06-24,north,Golf Course Road,28.44618,77.09851,sedan,0,5,3.6,1,80,
U00274,2025-08-08,south,Sohna Road,28.40378,77.04758,suv,0,6,4.0,0,33,
U00275,2025-10-01,north,Golf Course Road,28.47283,77.12866,hatchback,1,29,4.41,0,19,0
U00276,2024-12-12,east,Sector 56,28.43134,77.10625,sedan,0,3,4.33,0,34,
U00277,2025-07-20,north,Golf Course Road,28.43585,77.11834,suv,0,9,3.89,0,7,
U00278,2024-10-14,north,DLF Phase 3,28.48911,77.08836,hatchback,0,4,3.5,0,155,
U00279,2025-02-14,west,Palam Vihar,28.51317,77.03715,hatchback,0,10,3.6,0,75,
U00280,2024-09-11,north,Udyog Vihar,28.48168,77.06592,hatchback,1,27,3.67,0,24,0
U00281,2025-07-19,north,Cyber Hub,28.494,77.09077,sedan,0,7,3.71,0,124,
U00282,2025-10-21,north,Cyber Hub,28.48614,77.1,suv,1,31,3.97,0,20,1
U00283,2024-07-23,north,Udyog Vihar,28.52559,77.06416,sedan,1,26,4.27,0,25,0
U00284,2024-04-16,west,Palam Vihar,28.51047,77.04185,sedan,0,9,4.33,0,7,
U00285,2024-03-29,north,Cyber Hub,28.49216,77.08805,hatchback,1,26,3.54,1,10,0
U00286,2024-12-25,north,Udyog Vihar,28.50803,77.08441,hatchback,1,32,4.0,0,37,0
U00287,2024-07-01,north,Udyog Vihar,28.50316,77.08964,suv,0,8,4.5,0,1,
